customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Is_New_Customer,Total_Extra_Services,Charge_Spike_Ratio,Tenure_Group,Display_Contract,Bill_Shock
9489-DEDVP,0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,0,0,0,1,1,0,0,0,3,0.994,4+ Years,2-Year,Stable Bill
9867-JCZSP,0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,0,1,1,0,0,0,1,0,0,0.843,1-2 Years,1-Year,Stable Bill
4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,0,0,0,1,1,0,0,0,5,1.035,4+ Years,2-Year,Stable Bill
4080-IIARD,0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,0,0,0,0,0,1,0,0,4,1.009,1-2 Years,Month-to-Month,Stable Bill
3714-NTNFO,0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,1,0,0,0,0,1,0,0,1,1.06,4+ Years,Month-to-Month,Bill Spiked (>5%)
5948-UJZLF,1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,0,0,0,0,0,0,1,1,1,1.015,0-1 Year,Month-to-Month,Stable Bill
7760-OYPDY,0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,1,0,0,0,0,1,0,1,1,1.119,0-1 Year,Month-to-Month,Bill Spiked (>5%)
7639-LIAYI,1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,0,0,0,1,1,0,0,0,4,0.983,4+ Years,2-Year,Stable Bill
2954-PIBKO,0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,0,0,0,1,1,0,0,0,3,1.04,4+ Years,2-Year,Stable Bill
8012-SOUDQ,0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,1,0,0,0,0,1,0,0,2,1.011,2-4 Years,Month-to-Month,Stable Bill
9420-LOJKX,0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,1,0,0,0,1,0,0,0,4,1.042,1-2 Years,Month-to-Month,Stable Bill
6575-SUVOI,0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,0,0,0,0,1,0,0,0,3,0.991,2-4 Years,Month-to-Month,Stable Bill
7495-OOKFY,0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,1,0,0,0,1,0,0,1,1,1.019,0-1 Year,Month-to-Month,Stable Bill
4667-QONEA,0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,0,0,1,0,1,0,0,0,5,1.008,4+ Years,1-Year,Stable Bill
1658-BYGOY,1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,0,0,0,0,1,0,0,2,0.98,1-2 Years,Month-to-Month,Stable Bill
8769-KKTPH,0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,1,0,1,0,1,0,0,0,3,0.995,4+ Years,1-Year,Stable Bill
5067-XJQFU,1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,1,0,1,0,0,1,0,0,5,1.011,4+ Years,1-Year,Stable Bill
3957-SQXML,0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,0,1,0,1,1,0,0,0,0,0.949,2-4 Years,2-Year,Stable Bill
5954-BDFSG,0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,1,0,0,1,1,0,0,0,4,0.986,4+ Years,2-Year,Stable Bill
0434-CSFON,0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,1,0,0,0,0,1,0,0,3,1.003,2-4 Years,Month-to-Month,Stable Bill
1215-FIGMP,1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,1,0,0,0,0,0,0,0,2,0.99,4+ Years,Month-to-Month,Stable Bill
0526-SXDJP,1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,0,0,0,1,0,0,0,0,3,1.023,4+ Years,2-Year,Stable Bill
0557-ASKVU,0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,0,0,1,0,1,0,0,0,2,1.023,1-2 Years,1-Year,Stable Bill
5698-BQJOH,0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,1,0,0,0,0,1,0,1,2,0.991,0-1 Year,Month-to-Month,Stable Bill
5122-CYFXA,0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0,0,0,0,0,1,0,1,4,0.925,0-1 Year,Month-to-Month,Stable Bill
8627-ZYGSZ,1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,1,0,1,0,0,1,0,0,1,1.016,2-4 Years,1-Year,Stable Bill
3410-YOQBQ,0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,0,0,0,1,0,0,1,0,5,0.983,2-4 Years,2-Year,Stable Bill
3170-NMYVV,0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,0,1,0,1,0,0,0,0,0,1.082,4+ Years,2-Year,Bill Spiked (>5%)
7410-OIEDU,1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,1,0,0,0,0,0,1,1,2,0.9,0-1 Year,Month-to-Month,Stable Bill
2273-QCKXA,1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0,0,0,0,0,0,1,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
0731-EBJQB,0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,0,1,1,0,0,1,0,0,0,0.973,4+ Years,1-Year,Stable Bill
1891-QRQSA,1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,1,0,0,1,0,0,0,0,5,1.006,4+ Years,2-Year,Stable Bill
8028-PNXHQ,1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,0,1,0,1,0,0,0,0,0,1.055,4+ Years,2-Year,Bill Spiked (>5%)
5630-AHZIL,0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0,0,0,0,0,0,0,1,3,1.091,0-1 Year,Month-to-Month,Bill Spiked (>5%)
2673-CXQEU,0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,1,0,1,0,0,1,0,0,5,1.008,4+ Years,1-Year,Stable Bill
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,0,0,1,0,1,0,0,0,1,0.952,2-4 Years,1-Year,Stable Bill
5590-ZSKRV,0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,0,1,1,2,0.907,0-1 Year,Month-to-Month,Stable Bill
0191-ZHSKZ,1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,0,4,1.062,2-4 Years,Month-to-Month,Bill Spiked (>5%)
3887-PBQAO,0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,0,1,1,0,1,0,0,0,0,0.958,2-4 Years,1-Year,Stable Bill
5919-TMRGD,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,1,0,0,0,0,1,0,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
8108-UXRQN,0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,0,0,0,0,0,1,0,1,3,0.984,0-1 Year,Month-to-Month,Stable Bill
9191-MYQKX,0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,1,0,0,0,0,0,0,1,1,1.059,0-1 Year,Month-to-Month,Bill Spiked (>5%)
9919-YLNNG,0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,1,0,0,0,0,0,0,0,5,1.007,2-4 Years,Month-to-Month,Stable Bill
0318-ZOPWS,0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,0,1,0,1,0,0,0,0,0,1.014,4+ Years,2-Year,Stable Bill
4445-ZJNMU,1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,1,0,0,0,1,0,0,1,3,0.973,0-1 Year,Month-to-Month,Stable Bill
4808-YNLEU,0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,0,0,1,0,0,0,0,0,2,0.982,2-4 Years,1-Year,Stable Bill
1862-QRWPE,0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,0,1,0,1,0,0,0,0,0,0.938,2-4 Years,2-Year,Stable Bill
2796-NNUFI,0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,0,1,0,1,0,0,1,0,0,0.99,2-4 Years,2-Year,Stable Bill
3016-KSVCP,1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,0,0,0,0,0,0,1,0,1,0.97,2-4 Years,Month-to-Month,Stable Bill
4767-HZZHQ,1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,1,0,0,0,0,0,0,0,2,0.958,2-4 Years,Month-to-Month,Stable Bill
2424-WVHPL,1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,1,0,0,0,0,1,0,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
7233-PAHHL,1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,0,0,0,1,0,0,1,0,5,0.97,4+ Years,2-Year,Stable Bill
6067-NGCEU,0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,1,0,0,0,1,0,0,0,5,1.016,4+ Years,Month-to-Month,Stable Bill
9848-JQJTX,1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,1,0,0,1,0,0,0,0,4,0.974,4+ Years,2-Year,Stable Bill
8637-XJIVR,0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,1,0,0,0,0,1,0,1,1,1.022,0-1 Year,Month-to-Month,Stable Bill
9803-FTJCG,1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,0,0,1,0,1,0,0,0,3,1.0,4+ Years,1-Year,Stable Bill
0278-YXOOG,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,0,1,0,0,0,0,1,1,0,0.924,0-1 Year,Month-to-Month,Stable Bill
3212-KXOCR,1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,0,1,0,1,0,0,0,0,0,0.986,4+ Years,2-Year,Stable Bill
4598-XLKNJ,0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,1,0,0,0,0,1,0,0,4,0.979,2-4 Years,Month-to-Month,Stable Bill
6380-ARCEH,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,0,1,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
3679-XASPY,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0,1,0,0,0,1,0,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
7123-WQUHX,1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,1,0,1,0,0,0,0,0,3,1.001,2-4 Years,1-Year,Stable Bill
5386-THSLQ,0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,0,0,1,0,0,0,0,0,3,0.993,4+ Years,1-Year,Stable Bill
3192-NQECA,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,1,0,0,1,0,0,0,0,5,0.983,4+ Years,2-Year,Stable Bill
6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0,0,0,0,0,0,1,1,0,1.213,0-1 Year,Month-to-Month,Bill Spiked (>5%)
6728-DKUCO,0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,1,0,1,0,0,1,0,0,4,1.027,4+ Years,1-Year,Stable Bill
9750-BOOHV,0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,0,0,1,0,0,0,1,0,1,1.04,2-4 Years,1-Year,Stable Bill
8597-CWYHH,1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,1,0,1,0,0,0,1,0,2,1.035,2-4 Years,1-Year,Stable Bill
2848-YXSMW,1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,0,1,0,1,1,0,0,0,0,1.025,4+ Years,2-Year,Stable Bill
0486-HECZI,1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,1,0,0,0,0,1,0,0,3,1.016,4+ Years,Month-to-Month,Stable Bill
4549-ZDQYY,0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,0,0,1,0,1,0,0,0,3,0.991,4+ Years,1-Year,Stable Bill
5712-AHQNN,0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,1,0,0,0,0,1,0,0,3,0.997,2-4 Years,Month-to-Month,Stable Bill
4846-WHAFZ,0,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,1,0,0,0,0,1,0,0,0,0.987,2-4 Years,Month-to-Month,Stable Bill
5256-SKJGO,0,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,0,0,0,1,0,1,0,0,4,1.021,4+ Years,2-Year,Stable Bill
3071-VBYPO,1,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,1,0,0,0,0,1,0,1,3,1.085,0-1 Year,Month-to-Month,Bill Spiked (>5%)
9560-BBZXK,0,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,0,0,0,1,0,0,0,0,1,0.992,2-4 Years,2-Year,Stable Bill
5299-RULOA,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,1,0,0,0,0,1,0,1,3,0.942,0-1 Year,Month-to-Month,Stable Bill
8402-OOOHJ,0,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,0,1,0,1,0,0,1,0,0,1.014,2-4 Years,2-Year,Stable Bill
9445-ZUEQE,1,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,1,0,0,0,1,0,0,0,2,1.069,2-4 Years,Month-to-Month,Bill Spiked (>5%)
1091-SOZGA,0,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,1,0,1,0,1,0,0,0,3,1.013,4+ Years,1-Year,Stable Bill
2928-HLDBA,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,1,0,0,0,0,1,1,0,1.102,0-1 Year,Month-to-Month,Bill Spiked (>5%)
0404-SWRVG,1,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,1,0,0,0,0,1,0,1,0,0.972,0-1 Year,Month-to-Month,Stable Bill
6497-TILVL,0,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,0,1,1,1,1.013,0-1 Year,Month-to-Month,Stable Bill
7219-TLZHO,0,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,1,0,0,0,0,1,1,0,1.326,0-1 Year,Month-to-Month,Bill Spiked (>5%)
4622-YNKIJ,1,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,1,0,0,1,0,1,0,0,3,0.97,2-4 Years,2-Year,Stable Bill
4412-YLTKF,0,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,1,0,0,0,0,1,0,0,1,0.987,2-4 Years,Month-to-Month,Stable Bill
6734-PSBAW,1,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,0,1,0,1,0,0,0,0,0,0.984,4+ Years,2-Year,Stable Bill
3930-ZGWVE,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0,1,0,0,0,0,1,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
2639-UGMAZ,1,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,0,0,1,0,0,1,0,0,4,1.006,4+ Years,1-Year,Stable Bill
2876-GZYZC,0,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,1,0,0,0,0,1,0,0,1,0.919,1-2 Years,Month-to-Month,Stable Bill
6207-WIOLX,0,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,0,0,0,0,1,0,0,0,5,0.975,2-4 Years,Month-to-Month,Stable Bill
8587-XYZSF,1,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,0,0,0,1,0,0,0,0,1,1.039,4+ Years,2-Year,Stable Bill
3091-FYHKI,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,0,0,0,0,1,0,1,1,1.0,0-1 Year,Month-to-Month,Stable Bill
2372-HWUHI,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0,0,0,0,0,1,0,1,0,1.092,0-1 Year,Month-to-Month,Bill Spiked (>5%)
7799-LGRDP,0,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,0,1,0,1,1,0,0,0,0,0.93,2-4 Years,2-Year,Stable Bill
7850-VWJUU,0,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,1,0,0,0,0,0,0,0,1,0.97,1-2 Years,Month-to-Month,Stable Bill
3774-VBNXY,0,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,0,1,0,1,0,0,1,0,0,1.012,4+ Years,2-Year,Stable Bill
6217-KDYWC,1,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,0,1,0,1,0,0,1,0,0,0.954,4+ Years,2-Year,Stable Bill
0390-DCFDQ,0,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,1,0,0,0,0,0,1,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
3146-MSEGF,0,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,0,0,0,1,1,0,0,0,6,0.987,4+ Years,2-Year,Stable Bill
4080-OGPJL,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0,0,0,0,0,1,0,1,3,1.01,0-1 Year,Month-to-Month,Stable Bill
1095-WGNGG,0,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,1,0,0,1,0,0,0,0,3,1.032,4+ Years,2-Year,Stable Bill
2636-SJDOU,1,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,1,0,1,0,1,0,0,0,2,1.02,4+ Years,1-Year,Stable Bill
1131-QQZEB,1,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,0,1,0,1,0,0,0,0,0,0.968,4+ Years,2-Year,Stable Bill
5716-EZXZN,0,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,1,0,0,1,1,0,0,0,4,1.003,4+ Years,2-Year,Stable Bill
6837-BJYDQ,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,0,1,1,0,0,0,1,1,0,0.958,0-1 Year,1-Year,Stable Bill
2135-RXIHG,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,0,0,0,0,1,0,1,0,1.0,0-1 Year,Month-to-Month,Stable Bill
